participant_id,gender,age,year in program,pap_1,mav_5,map_1,mav_1,pav_1,pap_2,map_2,mav_2,pav_2,pap_3,mav_6,map_3,mav_3,pav_3,pap_4,map_4,mav_7,mav_4,pav_4,engage_1,exh_1_RC,engage_2,engage_3,engage_4,exh_2_RC,exh_6_RC,exh_8,exh_3,engage_5_RC,exh_5,engage_6_RC,engage_7_RC,exh_7,engage_8_RC,exh_4_RC,sc_1_RC,sc_2,sc_3,sc_4_RC,sc_5,sc_6,sc_7,sc_8_RC,sc_9_RC,sc_10,sc_11_RC,sc_12_RC,auto_1,auto_2,auto_3,auto_4,compet_1,compet_2,compet_3,compet_4,relat_1,relat_2,relat_3,relat_4,exercise_mild,exercise_mod,exercise_str,auto,compet,engage,exercise,exh,map,mav,pap,pav,relat,sc
58,female,20-24,2,5,5,3,2,3,2,5,5,4,2,4,6,2,2,2,6,3,5,3,3,2,4,4,3,2,3,3,2,4,3,4,4,3,3,2,4,3,4,2,4,2,3,1,1,2,2,2,4,4,4,4,5,4,4,5,3,4,4,3,2,1,0,16,18,29,3,20,20,26,11,12,14,30
59,male,25-29,2,6,4,5,6,3,6,6,2,2,5,3,2,5,1,5,6,4,2,1,4,1,2,3,3,2,1,2,2,4,2,4,4,3,3,2,4,4,5,4,5,5,5,4,3,5,4,4,5,5,6,3,4,5,5,5,4,5,4,5,0,0,2,19,19,27,2,15,19,26,22,7,18,52
60,female,20-24,2,5,4,6,2,2,4,6,4,5,2,2,6,2,1,3,6,2,2,2,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,4,3,4,3,5,2,5,1,3,5,3,3,3,5,4,3,5,4,5,4,6,6,6,6,1,1,1,15,18,21,3,22,24,18,14,10,24,41
61,female,20-24,2,6,3,5,5,3,4,5,4,3,3,4,6,4,3,4,5,3,3,3,3,1,2,3,3,2,2,2,2,4,2,4,3,2,3,1,3,4,4,4,4,3,4,4,3,4,2,4,4,5,5,4,5,4,5,5,4,4,4,4,3,1,1,18,19,25,5,14,21,26,17,12,16,43
62,female,20-24,2,3,4,5,6,5,2,3,2,5,4,5,5,2,1,1,5,2,5,5,3,2,2,3,2,3,2,3,3,3,3,3,3,2,4,1,2,5,4,5,3,4,4,1,2,4,5,5,5,5,5,5,5,6,5,5,3,4,5,5,2,0,1,20,21,23,3,19,18,26,10,16,17,44
63,female,20-24,2,5,5,6,7,4,2,6,2,5,2,2,6,2,1,4,6,2,2,3,4,1,4,4,3,2,2,3,3,3,2,4,3,2,4,2,4,4,4,4,2,4,5,4,5,4,5,5,4,5,5,4,6,4,6,5,6,5,6,6,3,2,1,18,21,29,6,17,24,22,13,13,23,50
64,female,20-24,2,5,6,5,5,5,4,5,5,5,4,4,5,5,4,4,5,5,4,4,3,3,2,3,3,3,3,3,3,2,3,2,2,3,2,2,2,3,3,1,3,3,3,1,1,2,2,2,4,4,4,4,4,3,4,4,2,3,3,3,3,1,1,16,15,19,5,23,20,34,17,18,11,26
65,female,20-24,2,5,5,5,6,5,2,5,5,3,2,3,6,6,2,3,6,2,3,3,4,2,4,3,3,3,3,3,3,3,3,4,4,2,4,2,2,3,4,2,2,2,4,1,3,2,1,3,2,5,4,4,5,4,4,5,6,5,4,5,1,1,0,15,18,29,2,21,22,30,12,13,20,29
66,male,25-29,2,5,5,3,6,3,2,5,3,3,2,3,3,2,2,4,5,5,3,3,3,2,2,3,3,3,2,2,3,2,3,2,2,3,2,2,2,3,4,2,4,2,3,3,2,3,2,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,1,19,20,19,5,20,16,27,13,11,20,32
67,female,25-29,2,6,4,6,2,5,6,7,5,2,5,3,6,2,1,3,6,3,2,2,4,1,3,3,3,3,3,3,3,3,3,4,3,3,3,2,4,4,4,3,5,3,4,3,2,4,2,2,3,5,5,4,5,5,5,6,5,5,5,5,2,2,1,17,21,26,5,21,25,21,20,10,20,40
